artist_name,nationality,birth_year,signature_technique,notable_light_works_2021_2026,work_title,work_year,work_type,medium,dimensions_notes,location_exhibition,technical_specifications,key_innovations
James Turrell,American,1943,Ganzfeld fields & Skyspaces,Roden Crater (ongoing),Roden Crater,1977-ongoing,Land art/Sky space,Earth & light,1.3 million cubic yards excavated,Arizona USA (private),Natural light integration; celestial alignment chambers,Decades-long earthwork integrating astronomical observation with light perception
James Turrell,American,1943,Ganzfeld fields & Skyspaces,"Aten Reign (Guggenheim retrospective)",Aten Reign,2013,Installation,LED light & architecture,Variable,Guggenheim Museum New York,525 hours of custom LED programming; 5 color zones,Immersive LED environment filling museum rotunda
James Turrell,American,1943,Ganzfeld fields & Skyspaces,"Exhibition at Kayne Corcoran (2023)",Breathing Light series,2020-2023,Skyspace,Architectural aperture,Variable,Various international venues,Monochromatic LED sequences; timed dawn/dusk cycles,Refined Skyspace technology with programmable color sequences
Yayoi Kusama,Japanese,1929,Infinity Mirror Rooms,Infinity Mirrored Room exhibitions worldwide,Infinity Mirrored Room - The Souls of Millions of Light Years Away,2013,Installation,Mirrors LED water,Variable,The Broad Los Angeles & touring,LED lights in water vessels; mirrored enclosure,Signature infinity reflection creating boundless light field
Yayoi Kusama,Japanese,1929,Infinity Mirror Rooms,"Longing for Eternity (2021-2024 touring)",Infinity Mirrored Room – Longing for Eternity,2017,Installation,Mirrors LED plastic,4m x 4m x 2.7m,The Broad Los Angeles & international tour,Hanging LED lanterns; water floor reflection,Evolution of infinity room with suspended light sculptures
Yayoi Kusama,Japanese,1929,Infinity Mirror Rooms,"My Heart is Dancing into the Universe (2018-2025)",My Heart is Dancing into the Universe,2018,Installation,Mirrors LED moving platform,3.8m x 3.8m x 2.5m,International touring (Asia Europe USA),Motorized platform; color-changing LED spheres,Interactive infinity space with kinetic elements
Olafur Eliasson,Danish-Icelandic,1967,Phenomenological light & perception,"A symphony of disappearing sounds for the Great Salt Lake (2026)",A symphony of disappearing sounds for the Great Salt Lake,2026,Public installation,Light projection & sound,Large elevated sphere,Memory Grove Salt Lake City USA,Spherical light projection; field recording audio composition,Environmental activism through multisensory light/sound work
Olafur Eliasson,Danish-Icelandic,1967,Phenomenological light & perception,"Your curious journey (2025-2026)",Complementary colour chart,2009,Installation,Monofrequency light & fog,Variable,Museum MACAN Jakarta (2025-2026),Red/green fog zones; fluorescent light delineation,Sensory deprivation through colored fog; perceptual adaptation
Olafur Eliasson,Danish-Icelandic,1967,Phenomenological light & perception,The Weather Project (Tate Modern legacy),The Weather Project,2003,Installation,Monofrequency light mist,22m ceiling height,Tate Modern London (permanent influence),Single-frequency sodium lamps; humidified air mist,Iconic artificial sun creating collective light experience
Olafur Eliasson,Danish-Icelandic,1967,Phenomenological light & perception,"Your rainbow panorama (2011-ongoing)",Your rainbow panorama,2011,Architectural installation,Colored glass walkway,150m circular elevated walkway,ARoS Aarhus Art Museum Denmark,3-meter wide circular glass corridor; 6-color spectrum,Permanent architectural light intervention with city views
